[2023-05-12T19:43:15.682859+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.683359+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.683566+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.683915+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.685992+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.686456+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.691335+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.692516+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.695623+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.696317+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.697350+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.697809+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.699936+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.699936+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.700268+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.700257+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.705333+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.705817+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.709678+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.710260+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.710949+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.711436+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.715968+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.716346+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.718781+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.719171+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.722788+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
